image_path,label,domain,generator_or_device,source_dataset,source_url,split,intended_role,license_provenance,license_notes,original_id,file_format,resolution,size_bytes,sha256,dhash_hex,ahash_hex,status
data/e5_external/modern_ai/flux_dev/0001.png,ai,modern_ai,FLUX.1 [dev],LukasT9/Flux-1-Dev-Images-1k,https://huggingface.co/datasets/LukasT9/Flux-1-Dev-Images-1k/resolve/main/images/0001.png,train,training,FLUX.1 [dev] Non-Commercial License (BFL) / HF repo labeled Apache-2.0 by LukasT9,Permitted for academic non-commercial research & model development. Non-commercial restriction applies from BFL base model.,0001.png,PNG,1024x1024,1620364,d32c6b8c3af6ff896c375a4275b67d536060bf86fdced0b3739aeb0e3b12ff00,f0f8f0e41001c0c0,7efefef080000000,accepted
data/e5_external/modern_ai/flux_dev/0008.png,ai,modern_ai,FLUX.1 [dev],LukasT9/Flux-1-Dev-Images-1k,https://huggingface.co/datasets/LukasT9/Flux-1-Dev-Images-1k/resolve/main/images/0008.png,train,training,FLUX.1 [dev] Non-Commercial License (BFL) / HF repo labeled Apache-2.0 by LukasT9,Permitted for academic non-commercial research & model development. Non-commercial restriction applies from BFL base model.,0008.png,PNG,1024x1024,1273035,6655c92c8c4d43d995dabf0c745610b96f4fe651418be4462f119b2a6fc78e82,f8fcb0713533ebc0,ffffff000011017c,accepted
data/e5_external/modern_ai/flux_dev/0010.png,ai,modern_ai,FLUX.1 [dev],LukasT9/Flux-1-Dev-Images-1k,https://huggingface.co/datasets/LukasT9/Flux-1-Dev-Images-1k/resolve/main/images/0010.png,train,training,FLUX.1 [dev] Non-Commercial License (BFL) / HF repo labeled Apache-2.0 by LukasT9,Permitted for academic non-commercial research & model development. Non-commercial restriction applies from BFL base model.,0010.png,PNG,1024x1024,1689467,86f2972ae4dfb87ecd71e15d840119a32b1c355743ea7c9bf6dfb3ecc71665b8,f0f8f0f0c193efdc,ffffff3800000000,accepted
data/e5_external/modern_ai/flux_dev/0009.png,ai,modern_ai,FLUX.1 [dev],LukasT9/Flux-1-Dev-Images-1k,https://huggingface.co/datasets/LukasT9/Flux-1-Dev-Images-1k/resolve/main/images/0009.png,train,training,FLUX.1 [dev] Non-Commercial License (BFL) / HF repo labeled Apache-2.0 by LukasT9,Permitted for academic non-commercial research & model development. Non-commercial restriction applies from BFL base model.,0009.png,PNG,1024x1024,1212601,2c4a61e6bc4768a8ed17d856fdb2b163c3cb3cca6380d62033ca032c13036ba6,f8e8c8d0d0d98989,1c7cfcf878280040,accepted
data/e5_external/modern_ai/flux_dev/0007.png,ai,modern_ai,FLUX.1 [dev],LukasT9/Flux-1-Dev-Images-1k,https://huggingface.co/datasets/LukasT9/Flux-1-Dev-Images-1k/resolve/main/images/0007.png,train,training,FLUX.1 [dev] Non-Commercial License (BFL) / HF repo labeled Apache-2.0 by LukasT9,Permitted for academic non-commercial research & model development. Non-commercial restriction applies from BFL base model.,0007.png,PNG,1024x1024,1433236,7ef6c6a26adf5074d15d3215e7922ab0edfc7160f8014c332a4e0cd1b14ff4dd,f0f8f8f0f0f0f0d0,7f7ffffe18000000,accepted
data/e5_external/modern_ai/flux_dev/0006.png,ai,modern_ai,FLUX.1 [dev],LukasT9/Flux-1-Dev-Images-1k,https://huggingface.co/datasets/LukasT9/Flux-1-Dev-Images-1k/resolve/main/images/0006.png,train,training,FLUX.1 [dev] Non-Commercial License (BFL) / HF repo labeled Apache-2.0 by LukasT9,Permitted for academic non-commercial research & model development. Non-commercial restriction applies from BFL base model.,0006.png,PNG,1024x1024,1648194,f1fc0259b4941dad71fdd67f2d6e63012a24c0ca6cc73115b7cdd31d6eb05552,f0cc86021b8cccf0,3c7e76e000c67e3c,accepted
data/e5_external/modern_ai/flux_dev/0004.png,ai,modern_ai,FLUX.1 [dev],LukasT9/Flux-1-Dev-Images-1k,https://huggingface.co/datasets/LukasT9/Flux-1-Dev-Images-1k/resolve/main/images/0004.png,train,training,FLUX.1 [dev] Non-Commercial License (BFL) / HF repo labeled Apache-2.0 by LukasT9,Permitted for academic non-commercial research & model development. Non-commercial restriction applies from BFL base model.,0004.png,PNG,1024x1024,1605599,0a329a6a8083c61d57b5e684b8e0636531da1ea4862993421aba46b8f9cbd106,e0d0e0f0f0f0f8e0,0038387e7e7f0800,accepted
data/e5_external/modern_ai/flux_dev/0011.png,ai,modern_ai,FLUX.1 [dev],LukasT9/Flux-1-Dev-Images-1k,https://huggingface.co/datasets/LukasT9/Flux-1-Dev-Images-1k/resolve/main/images/0011.png,train,training,FLUX.1 [dev] Non-Commercial License (BFL) / HF repo labeled Apache-2.0 by LukasT9,Permitted for academic non-commercial research & model development. Non-commercial restriction applies from BFL base model.,0011.png,PNG,1024x1024,1378238,12d2ed68c932eca27a020ef77b0f3bd175c2c8ddca871c4198ed5538090edac2,e8ccc8f0f0f0c8c0,ffeffffe00000000,accepted
data/e5_external/modern_ai/flux_dev/0002.png,ai,modern_ai,FLUX.1 [dev],LukasT9/Flux-1-Dev-Images-1k,https://huggingface.co/datasets/LukasT9/Flux-1-Dev-Images-1k/resolve/main/images/0002.png,train,training,FLUX.1 [dev] Non-Commercial License (BFL) / HF repo labeled Apache-2.0 by LukasT9,Permitted for academic non-commercial research & model development. Non-commercial restriction applies from BFL base model.,0002.png,PNG,1024x1024,1049919,2733bd0bbcca19aad9c78358dd4a1e7b28abc4724ab496f01bd8a5f1e564ebbe,d0d8d0f3f1b181c0,7c7c7c7800d0f070,accepted
data/e5_external/modern_ai/flux_dev/0015.png,ai,modern_ai,FLUX.1 [dev],LukasT9/Flux-1-Dev-Images-1k,https://huggingface.co/datasets/LukasT9/Flux-1-Dev-Images-1k/resolve/main/images/0015.png,train,training,FLUX.1 [dev] Non-Commercial License (BFL) / HF repo labeled Apache-2.0 by LukasT9,Permitted for academic non-commercial research & model development. Non-commercial restriction applies from BFL base model.,0015.png,PNG,1024x1024,1220291,a630d7765aab3cd4880a09620f62098eb6c23f26ced6c93b7eb8366e20daf87a,f0f8f0f1d190c0d0,7efffff878400000,accepted
